Sample	Use	Well	n	Included	B7-H1	CD40 Lig	EGF	Eotaxin	FGF-basic (CDXY)	FGF-basic (HR)	Flt-3 Lig	Fractalkine	G-CSF	GM-CSF	Granzyme B	GRO alpha	GRO beta	IFN-alpha2	IFN-beta	IFN-gamma	IL-10	IL-12p70	IL-13	IL-15	IL-17A	IL-17E	IL-1alpha (BYU)	IL-1alpha (GX)	IL-1beta	IL-1ra	IL-2	IL-3	IL-33	IL-4	IL-5	IL-6	IL-7	IL-8	IP-10	MCP-1	MCP-3	MDC	MIP-1alpha	MIP-1beta	MIP-3alpha	MIP-3beta	PDGF-AA	PDGF-AB/BB	RANTES	TGF-alpha	TNF-alpha	TNF-beta	TRAIL	VEGF
Unknown11	Unknown	C4		Checked	436.44	8035.57	33.11	49.78	36.49	35.56	338.98	1520.77	92.38	313.46	3411.86	3835.37	957.34	4.77	2.95	1259.63	290.54	35.30	70.74	29.99	67.19	162.57	6.28	99.06	91.97	4823.10	340.24	91.73	70.12		8.63	6332.62	6.27	13070.51	572.58	4029.67	286.79	1637.76	120.04	1866.69	25.45	74.84	5713.57	1206.29	54582.58	34.53	439.37	68.01	26.64	413.73
Unknown11	Unknown	C6		Checked	17234.93	118530.78	417.59	6447.54	2733.65	2210.20	6922.95	51291.65	6086.97	4348.86	2026.99	4982.31	2040.36	1525.27	547.37	10367.75	7154.33	3985.55	10908.92	729.14	1910.17	3575.05	241.17	1335.92	911.03	3326.03	657.08	3705.35	3053.77	234.34	1873.72	2164.97	674.99	457.13	617.26	840.61	4313.60	4068.64	944.17	14566.59	148.54	808.07	1621.52	3487.72	77491.24	1789.05	3160.05	93.68	6703.28	1670.20
Unknown12	Unknown	D4		Checked	1.31	0.00	0.00	8.19	0.00	0.00	14.77	23.65	0.00	1.60	35.44	44.19	12.86	0.00	0.00	4.05	0.00	0.00	14.75	0.04	0.00	0.00	0.03	0.00	0.00	68.53	5.56	0.00	0.00	0.00	0.00	61.91	0.00	772.32	5.19	281.90	8.20	21.79	0.00	82.99	0.14	0.01	42.75	7.73	529.00	0.00	2.56	0.00	0.00	2.32
Unknown12	Unknown	D6		Checked	5112.29	31384.46	152.36	2126.29	720.84	616.04	1945.90	15348.02	1705.07	1253.53	600.85	1502.38	691.17	443.61	151.51	3529.36	1980.89	1143.36	3561.59	210.42	533.07	1074.97	76.87	337.39	266.40	948.68	191.01	1097.42	804.85	63.56	607.87	623.28	192.09	130.82	177.94	266.93	1626.65	1529.31	320.45	5058.88	42.72	253.80	457.69	1227.02	17117.68	608.49	904.13	28.89	1855.28	469.36
Unknown13	Unknown	E4		Checked	181.38	2074.68	4.83	62.20	31.83	21.81	97.83	613.70	62.30	46.77	22.70	236.84	26.16	15.06	7.64	103.18	128.20	47.49	125.64	5.40	26.53	74.88	3.04	14.91	8.83	46.87	15.31	64.00	65.09	3.22	5.55	33.08	11.57	5.66	9.74	11.33	44.12	278.99	64.12	672.26	2.18	11.71	22.73	42.11	1228.16	30.25	147.35	2.08	84.89	21.58
Unknown13	Unknown	E6		Checked	1669.20	10383.04	45.72	701.90	240.12	197.55	639.76	5331.47	556.65	400.46	199.47	482.50	215.67	150.84	48.59	1155.90	653.83	368.49	1226.52	71.29	181.05	361.74	27.06	109.05	84.38	321.27	61.92	373.54	266.20	21.40	200.20	208.00	65.47	42.29	60.36	92.62	496.22	624.48	107.48	1775.93	14.00	81.97	148.90	418.27	5387.98	186.16	306.15	9.14	613.93	149.32
Unknown14	Unknown	F4		Checked	9568.52	105490.58	268.47	3710.61	1951.18	1601.34	5333.62	31184.21	3715.05	2416.46	1302.12	2824.05	1361.75	774.67	383.11	5829.90	12899.35	3277.84	6622.82	339.06	1309.56	3611.58	174.90	931.33	468.91	2424.51	772.68	3051.53	2746.92	162.78	384.16	1615.98	592.89	297.89	528.66	622.59	2943.80	2732.46	674.09	9235.78	114.52	546.95	1521.66	2412.42	66330.20	1526.80	2019.23	126.69	4638.59	1063.09
Unknown14	Unknown	F6		Checked	567.41	4193.60	16.07	224.04	83.66	74.02	230.96	1800.61	202.10	136.84	70.52	162.57	72.58	50.95	17.27	390.99	225.04	131.11	403.90	24.56	65.57	122.12	9.08	40.62	30.19	110.96	21.27	128.87	97.37	7.25	69.72	73.96	22.68	16.10	20.86	31.25	179.89	176.82	35.26	577.04	5.26	27.64	54.19	129.63	2159.41	64.18	106.67	2.69	224.18	54.82
Unknown15	Unknown	G4		Checked	436.44	7967.30	32.08	50.46	32.35	35.56	329.63	1530.56	90.49	296.86	3129.65	3868.31	959.77	4.56	2.60	1176.07	271.80	36.31	68.82	27.33	63.13	167.55	5.61	97.63	85.96	4557.41	315.62	86.12	64.84		7.93	6379.89	5.80	12017.65	564.01	3406.53	265.24	1521.12	115.90	1768.85	24.91	71.59	5448.74	1165.54	55877.72	34.53	426.10	63.79	24.80	394.23
Unknown15	Unknown	G6		Checked	193.02	1329.33	5.10	68.80	28.09	24.95	77.34	590.11	65.30	44.19	22.70	55.55	23.06	16.52	5.55	123.87	74.37	42.39	122.90	7.67	21.45	40.35	2.71	13.50	9.61	32.75	7.35	41.88	31.75	2.41	20.98	24.15	7.34	5.06	6.83	9.75	55.26	60.41	11.50	186.22	1.54	9.16	18.16	46.09	772.38	20.05	36.13	0.71	72.81	17.83
Unknown16	Unknown	H4		Checked	0.00	0.00	0.00	7.36	0.00	0.00	16.33	25.69	0.00	1.60	39.76	46.60	14.69	0.00	0.00	5.32	0.00	0.00	11.22	0.04	0.00	0.00	0.09	0.00	0.00	76.11	6.24	0.00	0.00	0.00	0.00	70.19	0.00	919.53	6.69	301.24	7.60	24.30	1.17	91.01	0.17	0.30	46.83	8.73	637.54	0.00	3.21	0.00	0.00	3.15
Unknown16	Unknown	H6		Checked	58.35	86.61	1.27	23.70	5.04	1.46	20.20	181.48	15.34	12.92	6.48	0.00	6.45	4.77	1.56	37.45	20.50	12.38	38.11	2.40	5.97	9.40	0.87	3.59	2.52	5.68	2.24	11.27	7.47	0.65	6.49	6.31	2.01	0.97	1.99	3.43	18.28	19.53	2.85	59.62	0.41	2.30	4.77	13.66	88.74	6.00	9.85	0.00	19.30	4.53
